项目,Item,2021,2022,2022年比增长(%)
1-14  地区生产总值,,,,
Gross Domestic Product,,,,
NA,NA,NA,NA,NA
单位：万元,NA,NA,NA,(10000 yuan)
项        目,Item,2021,2022,2022年比
2021年,,,,
增长(%),,,,
Growth Rate,,,,
in 2022 over,,,,
2021 (%),,,,
NA,NA,NA,NA,NA
地区生产总值,Gross Domestic Product,282252120,288389974,1.0
按产业分,Grouped By Industry,NA,NA,NA
第一产业,Primary Industry,2997459,3183053,3.2
第二产业,Secondary Industry,77361260,79092947,1.1
第三产业,Tertiary Industry,201893401,206113974,1.0
按行业分,Grouped By Sector,NA,NA,NA
农、林、牧、渔业,"Agriculture, Forestry, Animal Husbandry and Fishery",3321056,3546495,3.4
工  业,Industry,67765668,69466738,1.0
建筑业,Construction,10094233,10129347,2.0
批发和零售业,Wholesale and Retail Trade,37356572,38015906,1.1
交通运输、仓储和邮政业,"Transport, Storage and Post",15617182,15906869,-5.5
住宿和餐饮业,Hotels and Catering Services,4503616,4312242,-7.2
金融业,Financial Intermediation,24261584,25961535,7.2
房地产业,Real Estate,31975366,30389284,-5.3
其他服务业,Other Services,87356843,90661559,3.0
信息传输、软件和信息技术服务业,"Information Transmission, Software and",19150628,NA,NA
NA,Information Technology,NA,NA,NA
租赁和商务服务业,Leasing and Business Services,15050519,NA,NA
科学研究和技术服务业,Scientific Research and Technical Services,10035903,NA,NA
水利、环境和公共设施管理业,"Management of Water Conservancy, Environment",1470124,NA,NA
NA,and Public Facilities,NA,NA,NA
居民服务、修理和其他服务业,"Service to Households, Repair and Other Services",4801886,NA,NA
教  育,Education,14765777,NA,NA
卫生和社会工作,Health and Social Work,8509400,NA,NA
文化、体育和娱乐业,"Culture, Sports and Entertainment",2535201,NA,NA
公共管理、社会保障和社会组织,"Public Management, Social Security and Social",11037406,NA,NA
NA,Organizations,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
注：1.本表数据绝对值按当年价格计算，增长速度按可比价格计算。,NA,NA,NA,
2. 2022年为年快报数据，其他服务业数据无法细分。,NA,NA,NA,
Notes: I. The level data in this table are calculated at current prices while the growth rates at comparable prices.,NA,,,
"II.The data of 2022 are the annual express data, and other service industry data can not be subdivided.",NA,NA,,
NA,NA,NA,NA,NA
