项目,Item,2021,2022,2022年比增长(%)
NA,,,,
NA,,,,
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,,,,
NA,,,,
NA,,,,
NA,,,,
NA,,,,
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
科学研究和技术服务业,Scientific Research and Technical Services,10035903,NA,NA
水利、环境和公共设施管理业,"Management of Water Conservancy, Environment",1470124,NA,NA
NA,and Public Facilities,NA,NA,NA
居民服务、修理和其他服务业,"Service to Households, Repair and Other Services",4801886,NA,NA
教  育,Education,14765777,NA,NA
卫生和社会工作,Health and Social Work,8509400,NA,NA
文化、体育和娱乐业,"Culture, Sports and Entertainment",2535201,NA,NA
公共管理、社会保障和社会组织,"Public Management, Social Security and Social",11037406,NA,NA
NA,Organizations,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
注：1.本表数据绝对值按当年价格计算，增长速度按可比价格计算。,NA,NA,NA,
2. 2022年为年快报数据，其他服务业数据无法细分。,NA,NA,NA,
Notes: I. The level data in this table are calculated at current prices while the growth rates at comparable prices.,NA,,,
"II.The data of 2022 are the annual express data, and other service industry data can not be subdivided.",NA,NA,,
NA,NA,NA,NA,NA
